1200 330128.0 331221.0 326288.0 330875.0 330301.0
1400 387375.0 385949.0 389527.0 391798.0 387396.0
1600 446456.0 448752.0 443143.0 446281.0 446919.0
1800 503627.0 503277.0 504061.0 504190.0 501310.0
2000 558125.0 555570.0 611322.0 554857.0 561574.0
2200 615452.0 615953.0 617081.0 613399.0 616469.0
2400 664641.0 665687.0 671048.0 668508.0 666273.0
2600 724799.0 721743.0 722882.0 740653.0 728144.0
2800 783283.0 780434.0 779865.0 782613.0 781199.0
3000 830216.0 834733.0 822781.0 829453.0 831108.0
