0 0 10417687.1498 10404816.4387 10407037.8512 10350447.5753 10375641.5785
0 4 7345413.63386 7347647.81705 7345114.94709 7353358.4755 7353019.38321
0 8 6965189.75897 6950244.17139 6977879.65647 6965190.90105 6959725.34374
0 12 6617555.5959 6622278.89307 6629655.74358 6610605.83038 6621825.17249
0 16 6250594.42228 6314456.91009 6323984.81209 6320497.80177 6249737.17508
0 20 6033104.20803 6031792.25991 6033515.48196 6029556.46613 6030995.66994
4 0 4445521.99471 4433971.01845 4435151.04717 4441358.07269 4444217.67296
4 4 2378701.03397 2378293.90932 2379402.24428 2382866.08027 2380200.49779
4 8 2279660.13994 2279240.53887 2279499.17582 2280604.00272 2271863.498
4 12 2172828.51297 2169626.50582 2170611.88749 2172041.87772 2172107.34663
4 16 2087456.34949 2086324.16426 2086801.87438 2087130.03935 2086048.98249
4 20 2021344.69019 2012194.97418 2021357.5554 2017377.66494 2021676.33678
8 0 4426269.76636 4403423.5213 4418948.26697 4417033.68448 4418510.70765
8 4 2214320.3551 2214296.64961 2216849.75261 2212481.23758 2211810.77272
8 8 2117531.07618 2114621.73584 2113704.54009 2113764.6816 2109411.4077
8 12 2001541.97727 2007805.32953 2006650.96529 2000475.76713 2003609.8113
8 16 1928594.28571 1932937.35834 1925147.99577 1927561.33824 1933912.35515
8 20 1863396.60166 1865757.98388 1863163.34451 1864322.53322 1867279.58673
12 0 4438692.68012 4440874.10189 4439416.93318 4441833.42043 4440666.63886
12 4 2066789.69127 2066946.16177 2068607.00972 2073512.75647 2072723.57198
12 8 1966888.71743 1969388.20899 1974538.53848 1975065.84005 1969706.73052
12 12 1867339.01894 1852239.73457 1858049.29417 1858341.79826 1858083.60247
12 16 1805347.36513 1798830.85338 1804895.71981 1803338.97066 1801275.42549
12 20 1741920.40704 1740967.01154 1737572.15143 1735853.65735 1737156.85014
16 0 4443907.96313 4436887.69157 4439001.94478 4421904.97841 4435218.28337
16 4 1926036.43222 1923229.82828 1931409.97371 1920548.97988 1920134.0623
16 8 1819242.85714 1804326.79161 1807046.8944 1812075.712 1817442.32378
16 12 1724544.56826 1717364.78472 1720441.26282 1721104.40661 1723575.81281
16 16 1686645.84965 1675109.28856 1670957.65376 1675390.65752 1682026.26322
16 20 1625179.5518 1623727.66833 1617079.02358 1623561.59145 1628449.00958
20 0 4419214.6969 4416384.06688 4423276.2207 4414979.96443 4423870.88737
20 4 1747950.88693 1751516.86217 1743455.9682 1725948.88507 1729232.82929
20 8 1636665.6852 1660122.95564 1658968.76859 1666910.70588 1671706.58306
20 12 1575252.69054 1622545.69497 1608264.15127 1625919.63265 1622638.11568
20 16 1569214.98295 1585639.40503 1588201.38181 1598261.93837 1588019.75133
20 20 1534273.91987 1546050.83549 1540837.51985 1546167.19577 1542725.85102
