#S W Throughput-median
0 0 5.737374e+01
0 1 2.460947e+01
0 2 2.485892e+01
0 3 2.413145e+01
0 4 2.271585e+01
0 5 2.218159e+01


1 0 1.875710e+01
1 1 9.898493e+00
1 2 8.590301e+00
1 3 8.026171e+00
1 4 8.065646e+00
1 5 7.911904e+00


2 0 1.797520e+01
2 1 9.269307e+00
2 2 7.455870e+00
2 3 6.925261e+00
2 4 6.797508e+00
2 5 6.630828e+00


3 0 1.899223e+01
3 1 7.610980e+00
3 2 5.163596e+00
3 3 4.469636e+00
3 4 4.798997e+00
3 5 4.404605e+00


4 0 1.858105e+01
4 1 6.132288e+00
4 2 1.271024e+00
4 3 1.399942e+00
4 4 1.528265e+00
4 5 2.735194e+00


5 0 1.812235e+01
5 1 4.455203e-02
5 2 -2.041842e+00
5 3 1.286040e+00
5 4 2.232719e+00
5 5 3.523449e+00


