#X instruction_median cycles_median %s
1.2 2.471432e+00 2.947850e+08 1.192770e+08
1.4 2.457448e+00 3.421480e+08 1.392290e+08
1.6 2.440757e+00 3.885050e+08 1.591740e+08
1.8 2.414356e+00 4.324570e+08 1.791190e+08
2.0 2.389021e+00 4.755680e+08 1.990640e+08
2.2 2.359319e+00 5.166650e+08 2.189890e+08
2.4 2.325670e+00 5.556700e+08 2.389290e+08
2.6 2.299386e+00 5.951960e+08 2.588500e+08
2.8 2.272988e+00 6.336590e+08 2.787780e+08
3.0 2.243881e+00 6.702630e+08 2.987070e+08
