#X L1-dcache-loads-median L1-dcache-loads-min L1-dcache-loads-max
1.2 8.727800e+07 8.586710e+07 8.755870e+07
1.4 1.012890e+08 1.002870e+08 1.016740e+08
1.6 1.150250e+08 1.147520e+08 1.152510e+08
1.8 1.280000e+08 1.269310e+08 1.282360e+08
2.0 1.407720e+08 1.393290e+08 1.408700e+08
2.2 1.529370e+08 1.520070e+08 1.531370e+08
2.4 1.644720e+08 1.642250e+08 1.648650e+08
2.6 1.761380e+08 1.747740e+08 1.762320e+08
2.8 1.875190e+08 1.830570e+08 1.878200e+08
3.0 1.983330e+08 1.967790e+08 1.986280e+08
