#X L1-dcache-loads-median L1-dcache-loads-min L1-dcache-loads-max
1.2 9.053090e+07 9.020780e+07 9.055330e+07
1.4 1.053910e+08 1.049750e+08 1.056430e+08
1.6 1.203650e+08 1.201910e+08 1.205540e+08
1.8 1.346590e+08 1.345600e+08 1.349980e+08
2.0 1.493390e+08 1.489120e+08 1.495890e+08
2.2 1.638830e+08 1.632080e+08 1.639860e+08
2.4 1.778030e+08 1.769190e+08 1.780400e+08
2.6 1.921270e+08 1.912780e+08 1.923870e+08
2.8 2.059860e+08 2.053080e+08 2.064260e+08
3.0 2.191750e+08 2.177460e+08 2.193540e+08
