#X L1-dcache-loads-median L1-dcache-loads-min L1-dcache-loads-max
1.2 9.141310e+07 9.096160e+07 9.176220e+07
1.4 1.070730e+08 1.066930e+08 1.072400e+08
1.6 1.222650e+08 1.201280e+08 1.223200e+08
1.8 1.370880e+08 1.365750e+08 1.371570e+08
2.0 1.519530e+08 1.510340e+08 1.521780e+08
2.2 1.667830e+08 1.664080e+08 1.669300e+08
2.4 1.808490e+08 1.756510e+08 1.811260e+08
2.6 1.953620e+08 1.947920e+08 1.956620e+08
2.8 2.090110e+08 2.086290e+08 2.093540e+08
3.0 2.230560e+08 2.223540e+08 2.235850e+08
