#X PPS-median PPS-min PPS-max
1.2 4.331242e+06 4.322248e+06 4.334450e+06
1.4 5.039105e+06 5.027596e+06 5.051941e+06
1.6 5.752269e+06 5.732322e+06 5.758505e+06
1.8 6.443279e+06 6.419092e+06 6.446132e+06
2.0 7.129189e+06 7.101034e+06 7.145826e+06
2.2 7.809038e+06 7.793640e+06 7.819277e+06
2.4 8.470445e+06 8.461129e+06 8.489741e+06
2.6 9.151162e+06 9.137709e+06 9.163654e+06
2.8 9.790298e+06 9.781755e+06 9.817749e+06
3.0 1.041216e+07 1.038696e+07 1.042721e+07
