#X lat50-median lat50-min lat50-max
1.2 3.312500e+02 3.310000e+02 3.315000e+02
1.4 2.997500e+02 2.992500e+02 3.002500e+02
1.6 2.762500e+02 2.762500e+02 2.767500e+02
1.8 2.595000e+02 2.592500e+02 2.600000e+02
2.0 2.532500e+02 2.525000e+02 2.532500e+02
2.2 2.530000e+02 2.530000e+02 2.537500e+02
2.4 2.460000e+02 2.460000e+02 2.460000e+02
2.6 2.400000e+02 2.397500e+02 2.400000e+02
2.8 2.370000e+02 2.365000e+02 2.370000e+02
3.0 2.357500e+02 2.350000e+02 2.370000e+02
