#X llc-loads-median llc-loads-min llc-loads-max
1.2 4.774330e+05 4.742180e+05 4.782710e+05
1.4 5.600140e+05 5.545630e+05 5.657560e+05
1.6 6.500290e+05 6.449250e+05 6.514680e+05
1.8 7.272750e+05 7.175410e+05 7.315630e+05
2.0 8.125800e+05 8.054450e+05 8.176670e+05
2.2 8.931450e+05 8.890700e+05 8.979190e+05
2.4 9.616760e+05 9.605620e+05 9.641780e+05
2.6 1.034460e+06 1.026230e+06 1.047140e+06
2.8 1.106340e+06 1.103790e+06 1.114930e+06
3.0 1.176800e+06 1.168260e+06 1.185170e+06
