#X lat50-median lat50-min lat50-max
1.2 5.107500e+02 5.097500e+02 5.120000e+02
1.4 4.622500e+02 4.620000e+02 4.650000e+02
1.6 4.287500e+02 4.280000e+02 4.287500e+02
1.8 4.030000e+02 4.025000e+02 4.047500e+02
2.0 3.820000e+02 3.810000e+02 3.830000e+02
2.2 3.650000e+02 3.647500e+02 3.657500e+02
2.4 3.550000e+02 3.547500e+02 3.550000e+02
2.6 3.487500e+02 3.487500e+02 3.492500e+02
2.8 3.390000e+02 3.387500e+02 3.400000e+02
3.0 3.300000e+02 3.297500e+02 3.300000e+02
