#X instruction_median cycles_median %s
1.2 2.544602e+00 3.035150e+08 1.192780e+08
1.4 2.538763e+00 3.534720e+08 1.392300e+08
1.6 2.513218e+00 4.000440e+08 1.591760e+08
1.8 2.480697e+00 4.443450e+08 1.791210e+08
2.0 2.456733e+00 4.890250e+08 1.990550e+08
2.2 2.422152e+00 5.304320e+08 2.189920e+08
2.4 2.394403e+00 5.720900e+08 2.389280e+08
2.6 2.365300e+00 6.122650e+08 2.588530e+08
2.8 2.337393e+00 6.516090e+08 2.787760e+08
3.0 2.302343e+00 6.877100e+08 2.987000e+08
