#X llc-loads-median llc-loads-min llc-loads-max
1.2 4.342230e+05 4.258410e+05 4.354240e+05
1.4 5.101960e+05 5.069090e+05 5.158360e+05
1.6 5.948680e+05 5.934790e+05 5.998440e+05
1.8 6.734270e+05 6.709750e+05 6.750610e+05
2.0 7.510970e+05 7.444340e+05 7.547530e+05
2.2 8.306600e+05 8.260970e+05 8.332680e+05
2.4 8.937130e+05 8.909180e+05 9.023830e+05
2.6 9.645250e+05 9.599000e+05 9.695510e+05
2.8 1.033860e+06 1.011260e+06 1.036290e+06
3.0 1.100410e+06 1.090720e+06 1.103030e+06
