#X Throughput-median Throughput-min Throughput-max
1.2 3.575742e+10 3.545180e+10 3.582943e+10
1.4 4.171427e+10 4.160147e+10 4.175570e+10
1.6 4.756708e+10 4.679556e+10 4.757211e+10
1.8 5.330489e+10 5.326165e+10 5.334202e+10
2.0 5.905630e+10 5.868726e+10 5.908028e+10
2.2 6.473103e+10 6.469345e+10 6.480100e+10
2.4 7.020258e+10 6.788695e+10 7.028496e+10
2.6 7.567595e+10 7.560079e+10 7.578312e+10
2.8 8.093785e+10 8.081582e+10 8.104147e+10
3.0 8.625791e+10 8.621225e+10 8.630775e+10
