#X instruction_median cycles_median %s
1.2 2.535912e+00 3.024760e+08 1.192770e+08
1.4 2.516207e+00 3.503290e+08 1.392290e+08
1.6 2.492697e+00 3.967700e+08 1.591730e+08
1.8 2.452674e+00 4.393230e+08 1.791200e+08
2.0 2.429210e+00 4.835270e+08 1.990470e+08
2.2 2.405266e+00 5.267340e+08 2.189920e+08
2.4 2.377229e+00 5.679770e+08 2.389240e+08
2.6 2.338319e+00 6.052810e+08 2.588530e+08
2.8 2.314565e+00 6.452520e+08 2.787790e+08
3.0 2.284016e+00 6.822470e+08 2.987050e+08
