#X PPS-median PPS-min PPS-max
1.2 4.208837e+06 4.172842e+06 4.217816e+06
1.4 4.911701e+06 4.896878e+06 4.915498e+06
1.6 5.599969e+06 5.509341e+06 5.601018e+06
1.8 6.277163e+06 6.273530e+06 6.281624e+06
2.0 6.956641e+06 6.912727e+06 6.959585e+06
2.2 7.626857e+06 7.621989e+06 7.634604e+06
2.4 8.272308e+06 7.999007e+06 8.281522e+06
2.6 8.919131e+06 8.910277e+06 8.931023e+06
2.8 9.542873e+06 9.529561e+06 9.554275e+06
3.0 1.017757e+07 1.017132e+07 1.018147e+07
