#X L1-dcache-loads-median L1-dcache-loads-min L1-dcache-loads-max
1.2 8.765340e+07 8.291930e+07 8.800380e+07
1.4 1.020890e+08 1.018880e+08 1.021130e+08
1.6 1.155200e+08 1.152170e+08 1.155960e+08
1.8 1.282930e+08 1.270410e+08 1.286800e+08
2.0 1.411710e+08 1.337090e+08 1.414410e+08
2.2 1.530860e+08 1.514140e+08 1.533540e+08
2.4 1.651110e+08 1.643690e+08 1.652620e+08
2.6 1.764800e+08 1.723190e+08 1.768820e+08
2.8 1.880720e+08 1.876490e+08 1.882160e+08
3.0 1.984790e+08 1.973500e+08 1.988400e+08
