#X instruction_median cycles_median %s
1.2 2.654538e+00 3.167395e+08 1.193200e+08
1.4 2.664786e+00 3.711620e+08 1.392840e+08
1.6 2.662208e+00 4.239460e+08 1.592460e+08
1.8 2.652767e+00 4.754050e+08 1.792110e+08
2.0 2.646047e+00 5.270290e+08 1.991760e+08
2.2 2.639183e+00 5.783480e+08 2.191390e+08
2.4 2.623953e+00 6.273950e+08 2.391030e+08
2.6 2.616240e+00 6.777840e+08 2.590680e+08
2.8 2.598465e+00 7.250510e+08 2.790305e+08
3.0 2.588777e+00 7.740340e+08 2.989960e+08
