#X llc-loads-median llc-loads-min llc-loads-max
1.2 9.802260e+03 9.729160e+03 9.827500e+03
1.4 1.135720e+04 1.131970e+04 1.145810e+04
1.6 1.306900e+04 1.297850e+04 1.308360e+04
1.8 1.455200e+04 1.451420e+04 1.461000e+04
2.0 1.616890e+04 1.600670e+04 1.616970e+04
2.2 1.778210e+04 1.770960e+04 1.781060e+04
2.4 1.927080e+04 1.923080e+04 1.930910e+04
2.6 2.098400e+04 2.095070e+04 2.109110e+04
2.8 2.283650e+04 2.276950e+04 2.289260e+04
3.0 2.695570e+04 2.676060e+04 2.713610e+04
