#X Throughput-median Throughput-min Throughput-max
1.2 3.485242e+10 3.469330e+10 3.487421e+10
1.4 4.034692e+10 3.996772e+10 4.038256e+10
1.6 4.556911e+10 4.549905e+10 4.559876e+10
1.8 5.046209e+10 5.015989e+10 5.059152e+10
2.0 5.536644e+10 5.510688e+10 5.547752e+10
2.2 6.008629e+10 5.980512e+10 6.018485e+10
2.4 6.464376e+10 6.453723e+10 6.473454e+10
2.6 6.897262e+10 6.848486e+10 6.909572e+10
2.8 7.333375e+10 7.276827e+10 7.335561e+10
3.0 7.730672e+10 7.720602e+10 7.740756e+10
