#X llc-loads-median llc-loads-min llc-loads-max
1.2 3.546380e+05 3.350340e+05 3.596200e+05
1.4 4.165900e+05 4.158360e+05 4.176610e+05
1.6 4.757370e+05 4.744280e+05 4.797440e+05
1.8 5.333300e+05 5.306000e+05 5.337510e+05
2.0 5.927900e+05 5.583230e+05 5.941590e+05
2.2 6.493190e+05 6.456870e+05 6.514930e+05
2.4 6.997810e+05 6.967910e+05 7.047350e+05
2.6 7.446480e+05 7.302680e+05 7.512260e+05
2.8 7.979570e+05 7.851770e+05 8.002320e+05
3.0 8.424570e+05 8.397480e+05 8.490690e+05
