#X PPS-median PPS-min PPS-max
1.2 4.055678e+06 3.810699e+06 4.056607e+06
1.4 4.705994e+06 4.694342e+06 4.708751e+06
1.6 5.316094e+06 5.300337e+06 5.319183e+06
1.8 5.896494e+06 5.853548e+06 5.914079e+06
2.0 6.461876e+06 6.103133e+06 6.483150e+06
2.2 7.009276e+06 6.968677e+06 7.026285e+06
2.4 7.554579e+06 7.536712e+06 7.559084e+06
2.6 8.072692e+06 7.886465e+06 8.076266e+06
2.8 8.578291e+06 8.561781e+06 8.586437e+06
3.0 9.038809e+06 9.026658e+06 9.062015e+06
