#X lat50-median lat50-min lat50-max
1.2 3.375000e+02 3.372500e+02 3.395000e+02
1.4 3.045000e+02 3.045000e+02 3.055000e+02
1.6 2.810000e+02 2.805000e+02 2.835000e+02
1.8 2.630000e+02 2.630000e+02 2.630000e+02
2.0 2.517500e+02 2.517500e+02 2.520000e+02
2.2 2.550000e+02 2.550000e+02 2.552500e+02
2.4 2.480000e+02 2.480000e+02 2.510000e+02
2.6 2.420000e+02 2.417500e+02 2.420000e+02
2.8 2.380000e+02 2.380000e+02 2.380000e+02
3.0 2.357500e+02 2.350000e+02 2.360000e+02
