#X llc-loads-median llc-loads-min llc-loads-max
1.2 3.586820e+05 3.578140e+05 3.596800e+05
1.4 4.187490e+05 4.143250e+05 4.227740e+05
1.6 4.811170e+05 4.787910e+05 4.833450e+05
1.8 5.343480e+05 5.274310e+05 5.414870e+05
2.0 5.970380e+05 5.922370e+05 6.011200e+05
2.2 6.531670e+05 6.465780e+05 6.556060e+05
2.4 7.014960e+05 6.996640e+05 7.049190e+05
2.6 7.489200e+05 7.377710e+05 7.574610e+05
2.8 7.988610e+05 7.926780e+05 8.031770e+05
3.0 8.469670e+05 8.388420e+05 8.526870e+05
