#X PPS-median PPS-min PPS-max
1.2 4.102072e+06 4.083770e+06 4.104497e+06
1.4 4.748680e+06 4.704386e+06 4.753118e+06
1.6 5.364542e+06 5.356550e+06 5.367476e+06
1.8 5.941886e+06 5.907268e+06 5.958651e+06
2.0 6.522083e+06 6.490323e+06 6.536099e+06
2.2 7.079027e+06 7.048395e+06 7.090809e+06
2.4 7.618153e+06 7.606013e+06 7.628854e+06
2.6 8.133157e+06 8.074067e+06 8.147409e+06
2.8 8.652595e+06 8.583265e+06 8.654199e+06
3.0 9.123800e+06 9.111700e+06 9.135098e+06
