#X PPS-median PPS-min PPS-max
1.2 3.867756e+06 3.793348e+06 3.872080e+06
1.4 4.471518e+06 4.419155e+06 4.486050e+06
1.6 5.071522e+06 5.063698e+06 5.077159e+06
1.8 5.636289e+06 5.588784e+06 5.642793e+06
2.0 6.189830e+06 6.118485e+06 6.194322e+06
2.2 6.713365e+06 6.684855e+06 6.723445e+06
2.4 7.216932e+06 7.194954e+06 7.232684e+06
2.6 7.717777e+06 7.641246e+06 7.732162e+06
2.8 8.198343e+06 8.021734e+06 8.211424e+06
3.0 8.667113e+06 8.595414e+06 8.678907e+06
