#TX Throughput-min Throughput-q1 Throughput-median Throughput-q3 Throughput-max LAT99-min LAT99-q1 LAT99-median LAT99-q3 LAT99-max
9.946868e+10 5.151055e+10 5.160712e+10 5.165135e+10 5.169756e+10 5.170797e+10 4.200000e+02 4.207500e+02 4.217500e+02 4.220000e+02 4.225000e+02
1.066740e+10 1.062822e+10 1.066088e+10 1.066290e+10 1.071876e+10 1.081660e+10 2.125000e+01 2.150000e+01 2.150000e+01 2.150000e+01 2.150000e+01
2.142934e+10 2.131002e+10 2.133801e+10 2.139845e+10 2.146034e+10 2.155892e+10 2.525000e+01 2.525000e+01 2.550000e+01 2.550000e+01 2.575000e+01
3.212960e+10 3.172622e+10 3.193460e+10 3.204217e+10 3.215194e+10 3.245359e+10 3.125000e+01 3.150000e+01 3.200000e+01 3.200000e+01 3.200000e+01
4.280818e+10 4.225467e+10 4.249304e+10 4.252595e+10 4.253331e+10 4.306251e+10 4.350000e+01 4.350000e+01 4.350000e+01 4.400000e+01 4.500000e+01
5.366694e+10 5.056027e+10 5.076720e+10 5.083397e+10 5.097582e+10 5.098488e+10 2.930000e+02 2.930000e+02 2.957500e+02 2.967500e+02 2.970000e+02
6.398550e+10 5.082213e+10 5.120742e+10 5.124120e+10 5.143385e+10 5.165746e+10 3.222500e+02 3.225000e+02 3.225000e+02 3.230000e+02 3.255000e+02
7.475067e+10 5.125840e+10 5.144477e+10 5.146452e+10 5.168518e+10 5.187799e+10 3.270000e+02 3.280000e+02 3.290000e+02 3.290000e+02 3.292500e+02
8.098666e+10 5.002905e+10 5.161797e+10 5.173031e+10 5.221685e+10 5.236012e+10 3.297500e+02 3.297500e+02 3.300000e+02 3.305000e+02 3.395000e+02
8.567028e+10 5.149408e+10 5.156817e+10 5.206448e+10 5.211341e+10 5.239894e+10 3.325000e+02 3.327500e+02 3.327500e+02 3.332500e+02 3.355000e+02
9.069009e+10 5.184596e+10 5.203184e+10 5.211647e+10 5.226274e+10 5.240144e+10 3.360000e+02 3.365000e+02 3.370000e+02 3.370000e+02 3.372500e+02
9.593444e+10 5.208846e+10 5.216845e+10 5.240613e+10 5.269827e+10 5.316201e+10 3.470000e+02 3.475000e+02 3.480000e+02 3.485000e+02 3.512500e+02
9.949305e+10 5.164070e+10 5.200828e+10 5.238587e+10 5.240620e+10 5.268360e+10 4.117500e+02 4.177500e+02 4.182500e+02 4.192500e+02 4.195000e+02
9.945470e+10 5.028305e+10 5.084205e+10 5.158292e+10 5.169028e+10 5.172030e+10 4.207500e+02 4.207500e+02 4.212500e+02 4.255000e+02 4.290000e+02
9.947558e+10 5.127921e+10 5.135340e+10 5.153978e+10 5.165624e+10 5.261758e+10 4.200000e+02 4.210000e+02 4.215000e+02 4.217500e+02 4.230000e+02
9.944092e+10 5.147738e+10 5.156635e+10 5.157754e+10 5.160869e+10 5.162677e+10 4.215000e+02 4.215000e+02 4.217500e+02 4.220000e+02 4.222500e+02
