#TX Load-min Load-q1 Load-median Load-q3 Load-max Miss-min Miss-q1 Miss-median Miss-q3 Miss-max
9.941907e+10 4.772940e+04 4.951200e+04 4.971770e+04 4.986980e+04 5.108380e+04 1.768790e+02 1.839550e+02 1.947630e+02 2.062320e+02 2.489140e+02
1.067657e+10 4.377180e+04 4.381690e+04 4.408150e+04 4.414180e+04 4.420580e+04 1.450470e+02 1.657960e+02 1.689830e+02 1.736380e+02 1.757100e+02
2.138671e+10 7.587310e+04 7.611070e+04 7.614880e+04 7.690690e+04 7.789560e+04 1.468960e+02 1.511090e+02 1.740320e+02 1.786330e+02 1.908050e+02
3.213361e+10 9.335510e+04 9.778170e+04 9.794040e+04 9.844800e+04 1.005100e+05 1.634300e+02 1.658550e+02 1.706530e+02 1.801230e+02 1.838730e+02
4.284227e+10 1.139200e+05 1.157100e+05 1.158540e+05 1.159750e+05 1.170300e+05 1.835060e+02 1.866510e+02 1.867840e+02 1.869360e+02 2.293070e+02
5.327063e+10 1.291480e+05 1.303010e+05 1.305040e+05 1.309390e+05 1.319270e+05 1.693620e+02 1.800530e+02 2.201510e+02 2.354590e+02 2.461440e+02
6.446532e+10 1.312100e+05 1.318550e+05 1.330390e+05 1.331050e+05 1.333650e+05 1.713950e+02 2.165210e+02 2.478350e+02 2.633370e+02 2.639120e+02
7.499567e+10 1.155480e+05 1.183470e+05 1.190350e+05 1.200750e+05 1.203870e+05 1.982110e+02 2.323870e+02 2.420470e+02 2.459650e+02 2.496380e+02
8.091169e+10 1.048290e+05 1.057150e+05 1.071700e+05 1.074210e+05 1.079450e+05 1.833750e+02 1.894580e+02 2.423420e+02 2.541920e+02 2.633150e+02
8.543626e+10 8.851440e+04 8.857250e+04 8.962770e+04 9.027430e+04 9.058010e+04 1.740350e+02 1.752630e+02 2.220860e+02 2.407410e+02 2.657080e+02
9.064083e+10 7.081010e+04 7.153000e+04 7.172610e+04 7.194270e+04 7.292240e+04 1.707780e+02 1.718380e+02 1.862620e+02 1.984950e+02 2.924580e+02
9.579648e+10 6.137350e+04 6.220550e+04 6.340940e+04 6.445420e+04 6.551570e+04 1.752990e+02 1.911090e+02 1.996840e+02 2.010590e+02 2.780740e+02
9.946786e+10 4.965400e+04 5.166620e+04 5.271900e+04 5.279980e+04 5.356540e+04 1.908380e+02 1.967700e+02 1.969800e+02 2.157140e+02 2.651440e+02
9.938841e+10 4.750890e+04 4.804140e+04 4.938190e+04 4.948770e+04 5.033640e+04 1.832830e+02 1.863370e+02 1.922470e+02 2.690610e+02 2.700860e+02
9.940309e+10 4.660520e+04 4.735480e+04 4.742910e+04 4.924210e+04 4.997490e+04 1.834340e+02 1.840150e+02 1.930300e+02 2.683130e+02 2.803650e+02
9.938751e+10 4.682080e+04 4.724910e+04 4.825510e+04 4.933840e+04 4.958510e+04 1.894740e+02 1.973080e+02 1.973210e+02 1.983130e+02 2.318940e+02
