#TX Load-min Load-q1 Load-median Load-q3 Load-max Miss-min Miss-q1 Miss-median Miss-q3 Miss-max
9.941907e+10 1.834110e+08 1.834330e+08 1.835020e+08 1.835700e+08 1.840890e+08 2.958960e+06 3.002810e+06 3.014690e+06 3.019230e+06 3.086870e+06
1.067657e+10 1.323480e+08 1.324180e+08 1.324210e+08 1.324270e+08 1.324680e+08 4.931470e+05 4.933470e+05 4.937920e+05 4.940250e+05 4.952490e+05
2.138671e+10 1.295910e+08 1.300200e+08 1.311200e+08 1.311260e+08 1.313460e+08 9.415270e+05 9.415830e+05 9.460770e+05 9.488110e+05 9.495570e+05
3.213361e+10 1.315870e+08 1.327100e+08 1.327200e+08 1.327650e+08 1.327710e+08 1.365500e+06 1.371300e+06 1.372160e+06 1.377340e+06 1.379210e+06
4.284227e+10 1.355420e+08 1.355510e+08 1.358050e+08 1.358850e+08 1.360010e+08 1.756430e+06 1.764900e+06 1.778870e+06 1.779370e+06 1.797550e+06
5.327063e+10 1.405380e+08 1.406140e+08 1.406170e+08 1.406340e+08 1.407080e+08 2.162170e+06 2.168950e+06 2.171270e+06 2.197950e+06 2.202190e+06
6.446532e+10 1.480590e+08 1.481790e+08 1.483140e+08 1.483270e+08 1.486350e+08 2.457600e+06 2.495310e+06 2.498390e+06 2.501260e+06 2.512680e+06
7.499567e+10 1.571630e+08 1.582370e+08 1.584670e+08 1.586100e+08 1.587150e+08 2.762900e+06 2.782060e+06 2.815420e+06 2.826760e+06 2.829420e+06
8.091169e+10 1.632100e+08 1.639380e+08 1.639500e+08 1.641640e+08 1.644910e+08 2.855720e+06 2.861710e+06 2.870950e+06 2.873550e+06 2.932580e+06
8.543626e+10 1.700270e+08 1.703420e+08 1.706060e+08 1.707440e+08 1.712830e+08 2.962210e+06 2.986260e+06 2.989270e+06 2.993740e+06 3.033220e+06
9.064083e+10 1.748550e+08 1.751570e+08 1.762460e+08 1.764890e+08 1.766630e+08 2.974400e+06 3.006720e+06 3.009270e+06 3.039130e+06 3.045900e+06
9.579648e+10 1.774890e+08 1.783690e+08 1.793280e+08 1.793880e+08 1.794620e+08 2.976120e+06 2.983400e+06 3.004310e+06 3.011210e+06 3.087900e+06
9.946786e+10 1.803450e+08 1.806800e+08 1.812250e+08 1.813000e+08 1.834390e+08 2.889760e+06 2.905650e+06 2.964820e+06 2.992250e+06 2.998060e+06
9.938841e+10 1.836050e+08 1.836900e+08 1.837360e+08 1.837650e+08 1.840370e+08 2.998670e+06 3.010230e+06 3.041600e+06 3.060990e+06 3.065720e+06
9.940309e+10 1.825800e+08 1.832740e+08 1.834530e+08 1.837230e+08 1.838110e+08 2.973080e+06 2.981110e+06 2.981450e+06 2.982100e+06 2.985830e+06
9.938751e+10 1.829280e+08 1.837710e+08 1.837730e+08 1.838720e+08 1.840910e+08 2.970860e+06 2.987030e+06 2.994110e+06 3.012720e+06 3.018050e+06
