#TX Load-min Load-q1 Load-median Load-q3 Load-max Miss-min Miss-q1 Miss-median Miss-q3 Miss-max
9.946868e+10 1.534150e+08 1.535680e+08 1.538760e+08 1.539870e+08 1.542800e+08 6.363790e+06 6.390120e+06 6.439930e+06 6.470970e+06 6.535300e+06
1.066740e+10 1.384240e+08 1.414010e+08 1.423520e+08 1.424980e+08 1.426400e+08 9.817620e+05 9.915910e+05 9.947450e+05 9.998750e+05 1.000320e+06
2.142934e+10 1.438320e+08 1.458940e+08 1.459430e+08 1.460590e+08 1.462360e+08 2.157030e+06 2.169930e+06 2.188340e+06 2.206470e+06 2.221920e+06
3.212960e+10 1.514520e+08 1.514790e+08 1.523390e+08 1.524390e+08 1.529950e+08 3.745180e+06 3.751960e+06 3.772530e+06 3.826970e+06 3.880030e+06
4.280818e+10 1.555360e+08 1.561730e+08 1.561770e+08 1.565840e+08 1.569590e+08 5.505600e+06 5.560050e+06 5.584000e+06 5.599300e+06 5.626110e+06
5.366694e+10 1.503110e+08 1.508580e+08 1.512470e+08 1.513100e+08 1.514050e+08 6.334640e+06 6.340210e+06 6.417380e+06 6.418430e+06 6.515220e+06
6.398550e+10 1.495080e+08 1.507750e+08 1.511360e+08 1.511770e+08 1.512290e+08 6.371510e+06 6.372240e+06 6.383348e+06 6.430280e+06 6.545610e+06
7.475067e+10 1.496820e+08 1.498320e+08 1.500320e+08 1.506820e+08 1.513520e+08 6.284660e+06 6.391640e+06 6.422730e+06 6.424810e+06 6.460860e+06
8.098666e+10 1.470640e+08 1.513780e+08 1.514960e+08 1.515820e+08 1.518000e+08 6.282230e+06 6.350810e+06 6.372900e+06 6.407740e+06 6.447130e+06
8.567028e+10 1.505950e+08 1.512920e+08 1.519980e+08 1.520170e+08 1.520460e+08 6.328630e+06 6.342530e+06 6.361060e+06 6.363640e+06 6.390970e+06
9.069009e+10 1.519350e+08 1.521890e+08 1.523350e+08 1.524820e+08 1.525350e+08 6.313160e+06 6.392650e+06 6.422690e+06 6.433160e+06 6.453590e+06
9.593444e+10 1.523380e+08 1.527100e+08 1.531740e+08 1.531760e+08 1.534130e+08 6.334890e+06 6.342530e+06 6.440630e+06 6.443170e+06 6.481380e+06
9.949305e+10 1.528010e+08 1.531430e+08 1.538880e+08 1.539570e+08 1.540580e+08 6.356560e+06 6.436580e+06 6.439120e+06 6.479910e+06 6.489760e+06
9.945470e+10 1.502290e+08 1.516570e+08 1.530240e+08 1.533680e+08 1.541260e+08 6.317660e+06 6.364100e+06 6.470720e+06 6.489940e+06 6.522330e+06
9.947558e+10 1.529050e+08 1.532120e+08 1.535040e+08 1.539750e+08 1.540200e+08 6.390960e+06 6.402430e+06 6.417880e+06 6.515920e+06 6.532300e+06
9.944092e+10 1.527340e+08 1.535290e+08 1.536680e+08 1.538210e+08 1.539100e+08 6.402280e+06 6.412040e+06 6.417090e+06 6.466240e+06 6.589580e+06
