#X Throughput-median Throughput-min Throughput-max
1.2 2.295678e+10 2.242501e+10 2.299666e+10
1.4 2.666404e+10 2.657467e+10 2.677851e+10
1.6 3.050387e+10 3.008494e+10 3.053042e+10
1.8 3.425537e+10 3.417975e+10 3.430257e+10
2.0 3.787132e+10 3.780957e+10 3.792737e+10
2.2 4.145156e+10 3.999725e+10 4.146649e+10
2.4 4.501914e+10 4.492220e+10 4.511757e+10
2.6 4.871351e+10 4.840440e+10 4.880559e+10
2.8 5.237061e+10 5.223250e+10 5.240524e+10
3.0 5.575770e+10 5.545591e+10 5.576652e+10
