0 10387466.2176 10410133.7586 10394579.5839 10382971.3692 10405300.8892
200 1274968.63748 1258181.97129 1261802.03291 1258058.21034 1263077.44406
400 2525495.92217 2528071.43703 2527452.76113 2526156.12293 2534368.01304
600 3789473.57558 3800773.88341 3784899.30253 3796526.83778 3828109.13386
800 5053727.42793 5036647.73759 5166884.11057 5062100.18582 5044265.71083
1000 6279421.73423 6292769.61446 6314261.35907 6313944.09827 6289464.91716
1200 7571460.98536 7533070.43003 7634714.41099 7673915.39757 7609519.49508
1400 8899970.5218 8832665.0795 8866722.61261 8810311.9679 8815524.31552
1500 9459013.33169 9474539.81845 9393279.4959 9467193.53649 9485684.92
1600 9972791.59093 9929395.60282 10003411.018 9973471.0966 9997363.89616
1700 10352591.7713 10338921.2552 10314283.042 10337093.1444 10356548.2201
1800 10466837.8698 10436975.6047 10486102.2617 10436928.4712 10461550.8783
1900 10480691.8683 10477928.6582 10460187.9876 10421647.5422 10434973.7336
2000 10396810.9049 10407300.486 10357725.4791 10393455.9263 10370380.626
2100 10394159.0821 10391800.226 10462254.766 10408379.4327 10386969.2755
2200 10392416.8464 10394802.4815 10381712.7454 10389772.0885 10384711.8544
