1 0 0 120895604.0 120633709.0 120159808.0 120251056.0 122824540.0
1 1 0 115679354.0 118558165.0 116136930.0 118657458.0 118456940.0
1 2 0 116095798.0 117552246.0 117700973.0 118552237.0 115880154.0
1 3 0 115859814.0 118422977.0 118245484.0 118586269.0 117780280.0
1 4 0 116464386.0 117963055.0 115577135.0 114162114.0 118437869.0
1 5 0 117880607.0 118517978.0 117677309.0 118238412.0 116924248.0
1 6 0 118435551.0 118242851.0 117726280.0 118404025.0 118590674.0
1 7 0 117928685.0 118442309.0 118304744.0 116770758.0 117236975.0
1 8 0 118444351.0 118646487.0 118609120.0 115986802.0 115974706.0
1 9 0 118205196.0 118554904.0 118420994.0 118502857.0 117130800.0
1 10 0 118434154.0 118618046.0 118643517.0 117989089.0 117999650.0
1 11 0 116550720.0 117798149.0 118630029.0 117823650.0 117723861.0
1 12 0 118118454.0 118173100.0 118636542.0 117370207.0 117236881.0
1 13 0 117871790.0 118752428.0 118707802.0 118296441.0 116214749.0
1 14 0 118661193.0 118149039.0 117140168.0 115760253.0 118737815.0
1 15 0 116598868.0 116838849.0 118504350.0 116468354.0 114727586.0
1 16 0 117754569.0 118579605.0 117244428.0 118330632.0 118597380.0
1 17 0 117024597.0 118144446.0 118534114.0 116092370.0 117854857.0
1 18 0 118445552.0 118272795.0 118493818.0 118599764.0 118680469.0
1 19 0 118673386.0 118438106.0 117465797.0 117660752.0 116688380.0
1 20 0 117305218.0 117439679.0 115642260.0 117224730.0 118434155.0
1 0 4 111889236.0 108844694.0 112054729.0 110577156.0 110791866.0
1 1 4 102192661.0 101837103.0 99544996.0 101679149.0 101757904.0
1 2 4 100366374.0 99929954.0 99925801.0 100477315.0 100414681.0
1 3 4 99287654.0 99680024.0 99062613.0 98309438.0 99179460.0
1 4 4 99152140.0 99238842.0 99604228.0 99626558.0 99787738.0
1 5 4 99522190.0 97206027.0 99099854.0 98948423.0 99554618.0
1 6 4 97942175.0 97693808.0 97749146.0 97017723.0 97422619.0
1 7 4 96455417.0 98213888.0 98495334.0 98475927.0 98934356.0
1 8 4 98575078.0 96946099.0 97708619.0 96380603.0 98176698.0
1 9 4 98157392.0 97366042.0 98004601.0 97668524.0 97890063.0
1 10 4 97544948.0 96745104.0 97601367.0 97207011.0 96008129.0
1 11 4 97775587.0 97039671.0 97653686.0 97576644.0 97515596.0
1 12 4 97418187.0 95713246.0 95441874.0 94428926.0 97161441.0
1 13 4 96784991.0 95646243.0 96476255.0 97088191.0 97391563.0
1 14 4 95868305.0 97010461.0 96335175.0 96975158.0 96658543.0
1 15 4 96433875.0 95799853.0 96606248.0 96248177.0 90925937.0
1 16 4 96246181.0 96207227.0 94810656.0 95715364.0 95206093.0
1 17 4 94863395.0 94496076.0 92628228.0 94519586.0 93973095.0
1 18 4 93770418.0 94502727.0 94000261.0 91946541.0 95184498.0
1 19 4 94761483.0 94526204.0 94112854.0 93474416.0 94265966.0
1 20 4 92563999.0 93054602.0 93413206.0 94108544.0 94786967.0
1 0 8 104591062.0 106233726.0 107113672.0 106577838.0 104816656.0
1 1 8 95871300.0 95008222.0 96152118.0 95477692.0 94141997.0
1 2 8 93215060.0 94622314.0 94520493.0 94586729.0 92076577.0
1 3 8 94090255.0 94220976.0 93348814.0 93737386.0 92868323.0
1 4 8 93447218.0 92094067.0 94208694.0 93254678.0 94057342.0
1 5 8 93954385.0 93754207.0 93872706.0 94025371.0 93507818.0
1 6 8 93737459.0 93493106.0 93617259.0 93603961.0 93668562.0
1 7 8 92721193.0 93334551.0 93228949.0 92048474.0 92823551.0
1 8 8 92943728.0 90916970.0 91738218.0 92366624.0 91445029.0
1 9 8 92646781.0 91666789.0 92632321.0 92627609.0 92627924.0
1 10 8 91371015.0 92512235.0 92499995.0 91580577.0 90224282.0
1 11 8 92188260.0 92333863.0 92362498.0 91984676.0 91483784.0
1 12 8 91756817.0 91528661.0 91738972.0 90811464.0 89608122.0
1 13 8 91103593.0 90359261.0 91864236.0 91909699.0 89188818.0
1 14 8 90573111.0 91300296.0 91277836.0 91220152.0 90840567.0
1 15 8 90993368.0 91016189.0 91104831.0 90887147.0 90058268.0
1 16 8 90191696.0 89611089.0 89457418.0 89903021.0 90211610.0
1 17 8 89213261.0 87939577.0 89710815.0 90191523.0 90384196.0
1 18 8 87243722.0 89528265.0 89597694.0 88358113.0 89978447.0
1 19 8 87266860.0 89272517.0 89232381.0 89278149.0 89155402.0
1 20 8 87215543.0 88666430.0 87534771.0 88484729.0 89574015.0
1 0 12 100774054.0 98600125.0 101385421.0 101127984.0 101560546.0
1 1 12 90259677.0 90333837.0 90108615.0 90937374.0 90966005.0
1 2 12 89342381.0 89226874.0 89509890.0 88720861.0 89901371.0
1 3 12 88771600.0 89822760.0 89770107.0 89724924.0 89626532.0
1 4 12 89567218.0 89231941.0 89403831.0 88183823.0 89306888.0
1 5 12 88680663.0 89278735.0 89041744.0 89616052.0 88466097.0
1 6 12 89266820.0 88851427.0 87326383.0 88805140.0 86265681.0
1 7 12 88864315.0 88761158.0 87512967.0 88560865.0 88890374.0
1 8 12 87869296.0 88479288.0 88721135.0 88103665.0 88563395.0
1 9 12 88259132.0 88239536.0 88238969.0 88307025.0 87851769.0
1 10 12 87364121.0 87846248.0 87732963.0 85745177.0 88154657.0
1 11 12 87492101.0 88016236.0 87661327.0 87872833.0 87943795.0
1 12 12 86744166.0 85676893.0 86189148.0 87784229.0 87202265.0
1 13 12 87102849.0 87280284.0 87477107.0 87414178.0 87463979.0
