#X Throughput-median Throughput-min Throughput-max
1.2 4.274164e+10 4.230397e+10 4.309257e+10
1.4 5.001573e+10 4.917642e+10 5.026868e+10
1.6 5.673538e+10 5.644685e+10 5.734989e+10
1.8 6.319926e+10 6.277618e+10 6.410790e+10
2.0 7.039656e+10 7.037473e+10 7.136048e+10
2.2 7.748726e+10 7.713337e+10 7.843787e+10
2.4 8.367286e+10 8.294359e+10 8.491411e+10
2.6 8.885052e+10 8.827250e+10 9.024802e+10
2.8 9.361394e+10 9.227020e+10 9.453765e+10
3.0 9.770097e+10 9.501674e+10 9.979103e+10
