#X Throughput-median Throughput-min Throughput-max
1.2 4.175956e+10 4.149857e+10 4.176752e+10
1.4 4.868101e+10 4.864099e+10 4.868566e+10
1.6 5.558592e+10 5.110591e+10 5.563383e+10
1.8 6.216951e+10 6.208269e+10 6.223108e+10
2.0 6.855256e+10 6.799094e+10 6.863634e+10
2.2 7.484921e+10 7.447379e+10 7.500187e+10
2.4 8.120998e+10 8.081494e+10 8.138091e+10
2.6 8.664284e+10 8.652773e+10 8.670584e+10
2.8 8.824509e+10 8.785772e+10 8.827666e+10
3.0 8.814675e+10 8.799598e+10 8.826629e+10
