#X Throughput-median Throughput-min Throughput-max
64 1.215157e+10 1.206669e+10 1.217219e+10
192 2.978314e+10 2.906439e+10 2.985764e+10
320 4.717779e+10 4.604571e+10 4.733690e+10
448 6.448390e+10 6.430014e+10 6.485192e+10
576 7.475348e+10 7.331998e+10 7.477571e+10
704 7.915607e+10 7.871312e+10 7.920797e+10
832 8.285343e+10 8.244424e+10 8.293985e+10
960 8.653855e+10 8.588754e+10 8.694556e+10
1088 8.909318e+10 8.885381e+10 8.909849e+10
1216 9.092235e+10 9.084475e+10 9.103347e+10
1344 9.201616e+10 9.198903e+10 9.203685e+10
1472 9.305592e+10 9.297312e+10 9.308108e+10
1500 9.319380e+10 9.312476e+10 9.328174e+10
