#X Throughput-median Throughput-min Throughput-max
64 5.797018e+09 5.785250e+09 5.857928e+09
192 1.420778e+10 1.419235e+10 1.426309e+10
320 2.268888e+10 2.266441e+10 2.280001e+10
448 3.106840e+10 3.105131e+10 3.115014e+10
576 3.942799e+10 3.934736e+10 3.962404e+10
704 4.804293e+10 4.749397e+10 4.811913e+10
832 5.634484e+10 5.627544e+10 5.644190e+10
960 6.478435e+10 6.471939e+10 6.484981e+10
1088 7.347932e+10 7.315113e+10 7.377419e+10
1216 8.184936e+10 8.165573e+10 8.230049e+10
1344 9.021508e+10 9.008088e+10 9.031000e+10
1472 9.304914e+10 9.304164e+10 9.307507e+10
1500 9.325532e+10 9.324516e+10 9.330382e+10
