#X lat99-median lat99-min lat99-max
64 1.470000e+02 1.467500e+02 1.487500e+02
192 1.480000e+02 1.480000e+02 1.507500e+02
320 1.780000e+02 1.780000e+02 1.820000e+02
448 1.855000e+02 1.850000e+02 1.882500e+02
576 2.247500e+02 2.235000e+02 2.277500e+02
704 2.425000e+02 2.420000e+02 2.437500e+02
832 2.625000e+02 2.625000e+02 2.630000e+02
960 2.837500e+02 2.830000e+02 2.852500e+02
1088 2.935000e+02 2.927500e+02 2.945000e+02
1216 3.210000e+02 3.205000e+02 3.212500e+02
1344 3.452500e+02 3.442500e+02 3.462500e+02
1472 4.665000e+02 4.660000e+02 4.665000e+02
1500 4.755000e+02 4.752500e+02 4.757500e+02
