#X Throughput-median Throughput-min Throughput-max
64 5.859861e+09 5.793314e+09 5.869879e+09
192 1.433353e+10 1.404311e+10 1.439279e+10
320 2.264317e+10 2.151964e+10 2.269724e+10
448 3.109285e+10 3.037427e+10 3.117528e+10
576 3.944680e+10 3.857342e+10 3.969079e+10
704 4.789806e+10 4.694898e+10 4.816095e+10
832 5.620841e+10 5.578198e+10 5.623313e+10
960 6.508129e+10 6.406640e+10 6.516563e+10
1088 7.339125e+10 7.231798e+10 7.364315e+10
1216 8.180922e+10 8.145518e+10 8.188462e+10
1344 9.032113e+10 8.911347e+10 9.053043e+10
1472 9.298913e+10 9.293970e+10 9.300945e+10
1500 9.321135e+10 9.320496e+10 9.321956e+10
