#X Throughput-median Throughput-min Throughput-max
64 8.437918e+09 8.408376e+09 8.450751e+09
192 2.077921e+10 2.024016e+10 2.085806e+10
320 3.288591e+10 3.276387e+10 3.294013e+10
448 4.444758e+10 4.438794e+10 4.483027e+10
576 5.583251e+10 5.545376e+10 5.631240e+10
704 6.748305e+10 6.721276e+10 6.757238e+10
832 7.928984e+10 7.755601e+10 7.997643e+10
960 8.760127e+10 8.689451e+10 8.765273e+10
1088 9.056267e+10 9.055498e+10 9.057944e+10
1216 9.202766e+10 9.201351e+10 9.203816e+10
1344 9.322276e+10 9.321995e+10 9.323485e+10
1472 9.434425e+10 9.433364e+10 9.436496e+10
1500 9.428516e+10 9.427830e+10 9.428819e+10
