#X lat99-median lat99-min lat99-max
64 1.750000e+02 1.727500e+02 1.752500e+02
192 1.772500e+02 1.762500e+02 1.782500e+02
320 1.812500e+02 1.807500e+02 1.820000e+02
448 1.870000e+02 1.867500e+02 1.882500e+02
576 2.517500e+02 2.507500e+02 2.532500e+02
704 2.667500e+02 2.652500e+02 2.687500e+02
832 2.815000e+02 2.790000e+02 2.820000e+02
960 2.950000e+02 2.932500e+02 2.980000e+02
1088 2.895000e+02 2.877500e+02 2.910000e+02
1216 3.045000e+02 3.032500e+02 3.075000e+02
1344 3.582500e+02 3.507500e+02 3.612500e+02
1472 4.242500e+02 4.230000e+02 4.327500e+02
1500 3.925000e+02 3.640000e+02 4.377500e+02
