#X Throughput-median Throughput-min Throughput-max
64 1.530039e+10 1.493789e+10 1.562063e+10
192 3.748988e+10 3.599381e+10 3.766018e+10
320 6.064307e+10 5.995608e+10 6.081818e+10
448 6.876302e+10 6.861142e+10 6.881639e+10
576 7.352884e+10 7.350688e+10 7.360246e+10
704 7.882551e+10 7.868381e+10 7.883995e+10
832 8.243326e+10 8.230083e+10 8.254147e+10
960 8.618172e+10 8.603060e+10 8.624042e+10
1088 8.886563e+10 8.882533e+10 8.891138e+10
1216 9.090035e+10 9.089322e+10 9.091213e+10
1344 9.206891e+10 9.202231e+10 9.210187e+10
1472 9.309198e+10 9.304677e+10 9.310014e+10
1500 9.317748e+10 9.316195e+10 9.320477e+10
