#X Throughput-median Throughput-min Throughput-max
64 9.889093e+09 9.651503e+09 9.922267e+09
192 2.417981e+10 2.411034e+10 2.424320e+10
320 3.811526e+10 3.664970e+10 3.835230e+10
448 5.169691e+10 4.888674e+10 5.173012e+10
576 6.537003e+10 6.498671e+10 6.547387e+10
704 7.911643e+10 7.551381e+10 7.939240e+10
832 8.382195e+10 8.378670e+10 8.392395e+10
960 8.815713e+10 8.810561e+10 8.816276e+10
1088 8.971685e+10 8.971272e+10 8.972841e+10
1216 9.169085e+10 9.168358e+10 9.169986e+10
1344 9.261369e+10 9.258616e+10 9.261967e+10
1472 9.358941e+10 9.358486e+10 9.359002e+10
1500 9.370694e+10 9.367430e+10 9.371251e+10
